gender,height,weight,age,family,rich,curse,can_fly,popular,profession_group,hair_color,clothing_color,eyes_color,skill_color,weapon,equipment,str,int,dex,lux,isWind_Archer
0,150,40,33,0,1,1,1,1,4,1,6,1,5,2,1,358,3796,8726,1734,0
1,154,90,33,1,0,1,0,1,2,6,2,1,2,5,4,316,2091,4975,9835,0
1,201,125,15,1,0,0,1,0,5,5,6,4,2,4,3,4549,6365,3154,416,1
0,186,43,52,0,0,0,0,1,4,1,7,2,7,5,5,8994,4492,7832,1619,0
0,161,67,57,0,0,1,0,1,3,2,6,7,2,4,1,9919,2115,3758,8826,0
0,205,110,27,1,1,1,0,1,4,3,1,2,5,2,2,6238,3380,6496,6722,0
1,199,55,33,0,1,1,1,0,3,4,3,1,6,5,4,1632,966,1735,8138,0
0,190,117,10,1,1,0,0,1,5,5,3,6,7,6,1,8982,9715,4836,8121,0
1,143,78,46,1,0,0,1,0,3,3,7,5,1,2,3,6702,2970,3988,3032,0
1,182,56,44,0,1,0,0,0,4,5,2,7,6,3,2,8730,8467,882,9035,0
0,189,88,13,1,1,1,1,0,5,6,5,7,3,3,2,3115,305,3052,2591,0
1,199,88,11,1,1,0,0,1,3,7,6,5,5,3,4,4721,8578,9153,2057,0
1,161,78,26,0,0,1,0,0,5,1,6,3,2,4,2,2347,1482,2520,376,1
0,200,109,36,0,1,0,1,1,5,3,5,3,7,2,3,9139,658,1132,8640,0
1,161,59,52,1,1,0,1,0,3,3,5,4,4,2,2,8057,7795,3161,1071,0
1,193,52,28,1,1,0,1,1,3,1,3,7,1,5,1,1808,3826,5989,1159,0
0,140,70,27,1,0,0,0,0,1,3,5,6,5,2,3,6388,5735,8547,1170,0
1,181,82,39,1,0,1,1,1,3,6,6,4,7,2,1,8217,3263,1510,6579,0
0,195,90,44,1,0,0,1,0,4,2,1,4,4,6,4,4012,1112,9447,1117,0
1,182,91,18,0,1,0,0,0,4,6,7,5,7,6,1,5392,1391,2138,9763,0
1,182,55,35,1,1,1,1,0,5,5,2,1,4,2,4,1297,7400,2353,9883,0
1,158,56,49,1,1,0,0,1,1,3,6,6,2,1,5,1606,3045,7176,2627,0
1,205,119,14,1,0,0,0,0,2,7,3,1,6,2,5,1404,4057,8382,2138,0
0,150,77,42,0,1,0,1,1,2,7,6,6,1,6,1,4821,8862,4127,2998,0
0,175,81,40,0,1,0,0,0,4,5,4,4,5,2,2,7585,4513,239,9868,0
1,174,113,50,0,1,0,1,1,3,5,3,3,1,6,3,7184,8102,3694,6045,0
1,148,67,32,1,1,1,1,0,2,7,4,5,3,3,4,5040,491,8614,3171,0
1,156,115,36,0,0,1,0,1,3,5,1,3,4,3,5,8100,8238,2621,8540,0
1,197,87,35,1,1,0,0,1,5,3,5,1,5,5,1,8230,8866,2358,4100,0
1,190,126,22,0,0,1,1,0,1,4,1,3,4,2,2,341,5531,4977,8703,0
0,171,67,39,0,1,0,0,0,4,4,3,4,5,4,5,5114,3729,5873,7273,0
1,180,40,49,1,0,0,1,1,4,6,4,1,7,6,1,9801,4661,4543,3059,0
0,170,46,13,0,1,1,1,0,3,1,1,5,4,5,1,5122,7006,7320,8615,0
1,180,124,34,1,0,1,0,1,1,6,7,6,3,6,5,6347,4309,7916,7725,0
1,148,99,14,0,0,0,1,1,3,7,7,1,4,1,4,4403,5778,5833,2611,0
0,150,79,20,1,1,1,1,0,4,2,5,1,1,4,3,704,932,490,634,0
1,155,95,37,1,0,1,1,1,2,1,3,7,2,3,1,5274,9379,133,6260,0
0,143,99,42,1,0,0,1,1,3,7,5,2,4,3,4,7273,8591,8136,9597,0
1,145,89,56,1,0,1,0,0,2,5,3,7,3,4,3,806,9581,2606,2406,1
1,199,100,38,0,0,0,0,1,5,2,5,5,1,3,2,9885,9363,6265,5228,0
1,205,41,27,1,0,1,1,0,4,5,7,2,4,1,3,1963,600,8607,7582,0
1,141,75,28,1,1,0,1,1,5,3,6,1,6,4,5,7965,5900,7172,4856,1
1,207,114,12,1,1,0,0,0,3,5,5,7,5,6,5,566,3936,1041,1503,0
1,159,105,10,0,0,0,0,0,2,2,1,4,7,4,5,6641,9598,4434,2051,1
1,196,69,54,1,0,0,1,1,2,1,2,6,4,3,5,2125,917,6357,7789,0
1,206,56,38,1,1,1,1,0,4,7,2,3,7,2,1,2720,9716,2116,4167,0
0,167,78,26,1,1,1,1,1,3,6,4,6,4,2,3,3941,4666,3409,4483,0
1,207,93,14,1,0,1,0,1,3,6,6,5,7,1,1,4519,7222,4584,6797,0
0,183,50,59,0,1,1,0,0,3,4,3,5,3,5,1,6643,9475,9664,8536,0
0,152,90,17,0,1,0,0,1,1,6,4,2,3,2,3,1528,7349,2064,4688,0
0,188,100,16,0,1,0,1,1,2,3,2,3,1,1,3,6968,844,6612,5540,0
0,167,85,34,0,1,0,1,0,2,2,6,7,4,2,5,1316,7626,9330,7630,0
1,159,59,59,0,1,1,1,1,3,3,1,1,5,4,4,6665,365,4139,8327,1
0,204,97,35,1,1,0,1,0,1,3,1,5,1,6,3,8346,2507,3657,3594,0
1,154,105,40,1,1,1,1,1,4,2,1,3,2,2,1,241,5461,8699,6078,0
0,173,109,15,0,1,1,1,0,3,5,5,4,5,1,5,1332,3539,3579,1529,0
0,152,65,18,1,0,0,1,0,5,5,2,6,4,1,5,9993,2598,9127,4175,0
0,171,69,54,0,0,0,0,1,1,3,6,3,7,6,1,472,4764,369,2132,0
1,192,54,57,0,1,0,1,0,5,2,4,7,1,4,4,7001,1766,8790,7106,1
0,170,77,42,1,1,1,0,0,4,3,3,6,3,5,5,3944,5131,8130,2952,0
0,188,98,15,0,1,0,0,0,5,5,1,6,5,2,5,5243,4248,5271,636,0
0,207,84,20,1,1,0,1,0,4,4,6,4,2,4,4,3212,1974,3159,363,0
0,142,55,26,0,1,1,0,0,1,7,1,4,2,1,2,5302,1564,5713,1460,0
1,161,127,24,1,1,1,0,1,4,4,1,1,7,5,2,7758,5066,8858,6140,0
1,191,106,25,0,1,1,0,0,3,5,5,2,3,5,3,4338,6572,3827,6259,0
1,162,98,24,1,1,0,1,1,3,7,2,2,1,5,5,1269,6143,7840,8652,0
1,169,56,23,0,1,0,0,1,2,4,1,2,7,2,4,9121,9797,7407,8406,0
1,203,129,13,1,1,1,0,1,4,1,4,4,1,1,4,6221,3465,5673,6416,0
0,209,68,43,0,1,1,0,1,5,3,4,1,2,2,3,3046,3097,9440,9764,0
0,185,89,59,0,0,0,0,1,4,2,3,2,4,2,2,9208,3856,8841,2574,0
1,181,44,38,0,1,0,0,0,4,3,5,1,1,6,3,9159,5736,5642,235,0
1,192,129,32,1,1,1,1,0,2,2,2,7,3,2,5,8309,6359,7855,8326,0
1,155,127,44,1,1,0,1,1,2,6,6,4,3,4,2,1219,151,5594,9798,1
1,178,107,27,0,0,0,1,0,5,7,3,5,4,3,2,1104,3404,167,3286,0
0,145,106,16,1,0,0,1,1,5,3,4,6,4,6,5,7240,1767,9284,3782,0
0,142,118,31,1,0,0,0,0,3,5,5,7,1,6,3,1227,9446,3312,3430,0
0,179,49,16,1,1,0,0,0,5,2,7,5,3,5,2,5519,3514,3075,2116,0
1,142,47,20,0,0,0,1,1,3,1,4,4,6,1,5,5011,4208,3216,4119,0
1,161,117,23,1,0,0,1,0,1,4,1,3,2,2,5,3710,6282,4169,7686,0
1,202,100,12,0,0,0,1,0,3,4,5,4,2,6,5,70,5663,9877,9832,0
0,187,57,39,0,0,1,0,1,5,2,5,6,6,3,2,4773,6768,4999,2681,0
1,144,57,14,1,1,1,0,0,1,3,4,2,1,6,5,6479,7138,8328,3214,0
0,183,102,15,0,0,1,0,1,2,5,4,7,6,2,4,1520,4744,5226,8659,0
0,194,99,45,1,0,0,1,0,4,1,4,3,4,1,5,413,8159,6354,9364,0
0,190,123,56,0,1,1,0,0,2,2,1,7,4,1,1,704,5594,4301,1218,0
0,146,79,26,0,1,1,0,1,3,4,6,4,6,3,5,742,5030,3169,3928,0
0,142,74,28,0,0,0,1,0,3,1,6,5,4,2,2,3661,4230,6944,4023,0
1,167,65,30,0,0,0,0,1,1,6,3,3,2,2,2,5687,7407,1283,276,0
0,154,66,43,1,1,0,1,0,3,1,1,6,6,4,5,361,5523,3845,6626,0
1,204,80,27,1,0,1,1,1,1,1,3,3,4,6,4,4800,8909,4921,3846,0
1,152,80,53,0,0,1,1,1,1,2,4,3,5,1,2,7183,6326,9045,1908,0
1,208,51,31,0,1,1,1,0,3,7,2,2,1,4,5,3335,1038,4862,7815,1
0,199,56,19,1,1,1,1,1,2,2,1,6,2,5,2,6101,9359,2402,7351,0
0,153,60,41,1,0,0,1,1,3,2,2,4,7,2,5,1021,4482,505,8260,0
0,192,85,18,1,0,1,0,0,2,3,4,6,6,6,1,2762,2440,5352,9829,0
1,184,50,19,0,1,1,0,1,2,7,5,7,2,4,3,7888,3030,115,2504,1
0,198,73,18,0,0,0,0,1,1,5,3,1,4,6,1,8407,4922,1601,2884,0
0,201,63,40,1,1,1,1,1,5,2,6,5,3,4,1,6297,5511,3702,7613,0
1,161,128,11,0,0,1,1,1,4,7,4,2,7,2,3,9321,7623,2941,8045,0
1,188,73,52,0,1,0,1,0,2,4,7,7,6,2,4,8039,6293,5146,7479,0
1,176,101,13,1,1,0,0,0,4,1,3,5,4,4,4,7504,489,1198,8967,1
1,144,120,13,0,0,0,0,0,2,7,7,7,4,3,4,4985,9138,5436,816,0
1,150,122,52,0,0,0,0,1,3,7,5,4,2,3,5,2680,6145,964,9393,0
0,172,55,41,1,1,1,1,1,4,6,3,3,2,3,1,492,3803,3412,3452,0
1,187,129,52,0,0,0,0,0,1,4,6,4,5,1,4,7804,1833,5477,3579,0
0,162,93,37,1,1,1,0,0,4,3,3,7,3,1,2,7755,4512,3288,5621,0
0,198,69,42,0,1,0,0,1,4,6,2,6,2,6,2,2970,9531,8995,5510,0
0,192,43,32,1,0,1,1,1,4,5,7,1,6,2,5,8737,9982,2836,952,0
1,208,50,28,1,1,0,0,0,4,7,6,1,6,1,2,6372,94,4449,9235,0
1,153,99,53,0,0,0,0,1,3,7,4,7,2,1,1,206,5987,8116,2902,0
0,194,65,54,0,1,1,1,0,2,1,3,2,6,1,2,803,5770,9033,8571,0
0,172,120,16,1,1,0,1,0,2,2,1,1,6,3,1,3647,3279,2317,264,0
0,205,106,56,1,0,0,1,0,1,1,6,5,5,3,3,4691,8254,7372,5409,0
1,199,86,57,1,1,1,1,0,3,3,4,4,2,3,3,390,65,4091,7194,0
0,149,50,31,0,1,0,1,0,4,2,6,6,1,3,4,675,4449,8876,2111,0
0,195,43,58,0,0,0,0,0,2,4,6,4,3,5,1,1835,8248,945,5953,0
0,190,128,39,0,0,0,1,1,3,2,7,4,1,2,4,5011,1187,4775,8295,0
1,191,72,44,1,1,1,0,0,2,2,5,4,5,6,4,5270,7403,1921,330,0
1,197,42,21,1,1,1,0,1,4,7,5,7,5,3,1,3249,3503,5118,1566,0
1,176,51,14,1,0,0,1,1,1,5,7,3,5,3,2,4940,2709,7095,9620,0
1,167,114,58,1,0,1,0,0,1,7,1,2,1,4,5,6359,6610,508,1518,1
1,170,58,27,0,0,0,0,0,2,1,4,1,4,1,4,3090,5625,5645,4594,0
1,173,52,37,1,0,1,1,0,2,3,4,6,7,5,1,1178,4365,2106,7682,0
1,162,42,48,1,1,1,1,0,3,1,7,6,5,3,3,3217,8813,3288,5805,0
1,187,83,46,0,1,1,1,0,5,3,1,5,5,3,1,3932,3302,2161,1091,0
0,169,104,46,0,0,0,1,1,5,2,5,7,1,2,4,43,9692,1698,250,0
1,169,45,33,1,1,1,0,1,2,1,7,2,1,1,2,3419,2705,6171,6535,0
1,177,89,24,1,1,0,1,0,5,4,1,4,7,1,1,8919,8867,1668,4947,0
0,183,121,14,1,0,0,0,1,5,5,2,6,2,6,5,9981,126,4320,3768,0
1,143,66,24,1,1,0,1,1,2,6,3,3,6,5,5,5174,7655,2513,4488,0
1,172,67,33,0,0,0,0,0,5,7,5,3,5,3,1,3860,5773,6810,7743,0
1,197,123,10,1,0,0,1,0,4,5,6,1,6,6,1,8627,600,565,930,0
0,207,108,10,1,0,1,0,1,5,4,2,5,1,5,3,1077,7439,4755,3035,0
1,191,57,54,0,0,1,1,1,4,4,1,5,5,2,3,6692,8218,9768,9213,0
1,171,51,23,1,0,1,0,0,2,7,1,4,3,3,5,5233,2999,8114,9817,0
1,159,106,19,1,1,1,1,1,1,6,6,5,3,6,1,3454,7226,8544,7984,0
1,180,63,21,1,1,0,0,0,4,5,1,4,3,4,3,3691,5049,76,9826,1
0,197,80,24,1,0,1,0,1,1,1,2,7,4,2,5,2248,7154,1906,988,0
1,178,43,40,1,1,1,0,0,2,5,2,6,2,3,3,5711,1215,8545,231,0
0,202,82,17,1,0,0,0,0,4,2,4,4,2,3,2,4524,6031,4345,6836,0
1,160,120,42,0,1,1,0,0,1,1,4,4,5,1,2,1398,8663,8776,1719,0
1,179,67,39,1,1,1,1,0,4,3,3,5,1,1,1,2565,2330,4224,6933,0
